Image,Caption,Rights
urn:cite:episteme:bpg78img.handy_1357,"Leiden, BPG 78, folio 56 recto",
urn:cite:episteme:bpg78img.handy_1358,"Leiden, BPG 78, folio 56 verso",
urn:cite:episteme:bpg78img.handy_1359,"Leiden, BPG 78, folio 57 recto",
urn:cite:episteme:bpg78img.handy_1360,"Leiden, BPG 78, folio 57 recto",
urn:cite:episteme:bpg78img.handy_1361,"Leiden, BPG 78, folio 57 verso",
urn:cite:episteme:bpg78img.handy_1362,"Leiden, BPG 78, folio 58 recto",
urn:cite:episteme:bpg78img.handy_1363,"Leiden, BPG 78, folio 58 verso",
urn:cite:episteme:bpg78img.handy_1364,"Leiden, BPG 78, folio 59 recto",
urn:cite:episteme:bpg78img.handy_1365,"Leiden, BPG 78, folio 59 verso",
urn:cite:episteme:bpg78img.handy_1366,,
urn:cite:episteme:bpg78img.handy_1367,,
urn:cite:episteme:bpg78img.handy_1368,,
urn:cite:episteme:bpg78img.handy_1369,,
urn:cite:episteme:bpg78img.handy_1370,,
urn:cite:episteme:bpg78img.handy_1371,,
urn:cite:episteme:bpg78img.handy_1372,,
urn:cite:episteme:bpg78img.handy_1373,,
urn:cite:episteme:bpg78img.handy_1374,,
urn:cite:episteme:bpg78img.handy_1375,,
urn:cite:episteme:bpg78img.handy_1376,,
urn:cite:episteme:bpg78img.handy_1377,,
urn:cite:episteme:bpg78img.handy_1378,,
urn:cite:episteme:bpg78img.handy_1379,,
urn:cite:episteme:bpg78img.handy_1380,,
urn:cite:episteme:bpg78img.handy_1381,,
urn:cite:episteme:bpg78img.handy_1382,,
urn:cite:episteme:bpg78img.handy_1383,,
urn:cite:episteme:bpg78img.handy_1384,,
urn:cite:episteme:bpg78img.handy_1385,,
urn:cite:episteme:bpg78img.handy_1386,,
urn:cite:episteme:bpg78img.handy_1387,,
urn:cite:episteme:bpg78img.handy_1388,,
urn:cite:episteme:bpg78img.handy_1389,,
urn:cite:episteme:bpg78img.handy_1390,,
urn:cite:episteme:bpg78img.handy_1391,,
urn:cite:episteme:bpg78img.handy_1392,,
urn:cite:episteme:bpg78img.handy_1393,,
urn:cite:episteme:bpg78img.handy_1394,,
urn:cite:episteme:bpg78img.handy_1395,,
urn:cite:episteme:bpg78img.handy_1396,,
urn:cite:episteme:bpg78img.handy_1397,,
urn:cite:episteme:bpg78img.handy_1398,,
urn:cite:episteme:bpg78img.handy_1399,,
urn:cite:episteme:bpg78img.handy_1407,,

